source_id,cab,name,recovery_products,files
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,native-object,scalar-full-source,2
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,streaming-info,scalar-full-source,2
1270699580,CAB-29d80b2f8837038ba1f7373645104440,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Happy,scalar-full-source|standalone-native,2
1270699580,CAB-29d80b2f8837038ba1f7373645104440,native-object,scalar-full-source,1
1270699580,CAB-2c46ed1522cb8f784d34f4e4f9623e6c,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Angry,scalar-full-source|standalone-native,2
1270699580,CAB-2c46ed1522cb8f784d34f4e4f9623e6c,native-object,scalar-full-source,1
1270699580,CAB-557c9bde4053ddc382c3ac395efa662e,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Angry,scalar-full-source|standalone-native,2
1270699580,CAB-557c9bde4053ddc382c3ac395efa662e,native-object,scalar-full-source,1
1270699580,CAB-6bb6a9e527a3467ff48ac0b25ce58b5a,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Idle,scalar-full-source|standalone-native,2
1270699580,CAB-6bb6a9e527a3467ff48ac0b25ce58b5a,native-object,scalar-full-source,1
1270699580,CAB-6fa42bb47d0b24c6e64b4def6a51676a,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Happy,scalar-full-source|standalone-native,2
1270699580,CAB-6fa42bb47d0b24c6e64b4def6a51676a,native-object,scalar-full-source,1
1270699580,CAB-86a0467579f1681954a048d233d57d1a,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Think,scalar-full-source|standalone-native,2
1270699580,CAB-86a0467579f1681954a048d233d57d1a,native-object,scalar-full-source,1
1270699580,CAB-8891550b325567db97d20043b55e21d0,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Shy,scalar-full-source|standalone-native,2
1270699580,CAB-8891550b325567db97d20043b55e21d0,native-object,scalar-full-source,1
1270699580,CAB-8ef15d0d44881a06e6374f346640a5ff,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Surprise,scalar-full-source|standalone-native,2
1270699580,CAB-8ef15d0d44881a06e6374f346640a5ff,native-object,scalar-full-source,1
1270699580,CAB-947296a7eff1965711d57b496baa67da,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Sad,scalar-full-source|standalone-native,2
1270699580,CAB-947296a7eff1965711d57b496baa67da,native-object,scalar-full-source,1
1270699580,CAB-bf1457c507ac1bfac0236d5f02ee3e7c,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Sad,scalar-full-source|standalone-native,2
1270699580,CAB-bf1457c507ac1bfac0236d5f02ee3e7c,native-object,scalar-full-source,1
1270699580,CAB-ce2559781a1bfba3fabcae7513c187d4,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Idle,scalar-full-source|standalone-native,2
1270699580,CAB-ce2559781a1bfba3fabcae7513c187d4,native-object,scalar-full-source,1
1270699580,CAB-d8cf9b330261fb9b635df064b652b55f,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Think,scalar-full-source|standalone-native,2
1270699580,CAB-d8cf9b330261fb9b635df064b652b55f,native-object,scalar-full-source,1
1270699580,CAB-ea98614ef7888e06bcce9c516ba87c48,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Shy,scalar-full-source|standalone-native,2
1270699580,CAB-ea98614ef7888e06bcce9c516ba87c48,native-object,scalar-full-source,1
1270699580,CAB-f4996bec1f1f5c1ef8d51fda4b7af2af,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Facial_Blink_Surprise,scalar-full-source|standalone-native,2
1270699580,CAB-f4996bec1f1f5c1ef8d51fda4b7af2af,native-object,scalar-full-source,1
1436584839,CAB-1d1372ae2df0ba5732f6f1523467e0fb,TL_C30_ZiplineChasing_05_SC010_Avatar_MaxRemielleOriginCS,scalar-full-source|standalone-native,2
